Total Sec,Difference in time(sec),Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
,,0.00,0.00,0.00,0.00,0.00
0.030,0.03,0.03,-2.32,4.10,5.18,7.00
0.040,0.01,0.04,-2.08,4.01,5.54,7.15
0.050,0.0099,0.05,-1.97,4.41,5.72,7.49
0.060,0.01,0.06,-1.97,4.84,5.77,7.78
0.070,0.0099,0.07,-1.95,5.12,5.80,7.98
0.080,0.0099,0.08,-1.88,5.28,5.92,8.15
0.090,0.01,0.09,-1.84,5.39,6.17,8.39
0.100,0.0099,0.10,-1.82,5.47,6.46,8.66
0.110,0.0104,0.11,-1.85,5.49,6.74,8.89
0.119,0.009,0.12,-1.93,5.59,6.97,9.14
0.129,0.01,0.13,-2.00,5.79,7.10,9.38
0.139,0.01,0.14,-2.03,5.99,7.20,9.58
0.149,0.01,0.15,-2.06,6.15,7.32,9.78
0.159,0.01,0.16,-2.07,6.30,7.47,9.99
0.169,0.01,0.17,-2.17,6.42,7.65,10.20
0.179,0.01,0.18,-2.37,6.61,7.94,10.60
0.189,0.01,0.19,-2.62,6.91,8.39,11.20
0.199,0.01,0.20,-2.96,7.11,9.04,11.90
0.209,0.01,0.21,-3.31,6.99,9.80,12.50
0.219,0.01,0.22,-3.62,6.73,10.50,13.00
0.229,0.01,0.23,-3.76,6.56,11.10,13.40
0.239,0.01,0.24,-3.78,6.52,11.30,13.60
0.249,0.01,0.25,-3.77,6.65,11.10,13.50
0.259,0.01,0.26,-3.77,6.69,10.70,13.20
0.268,0.009,0.27,-3.84,6.72,10.40,12.90
0.278,0.01,0.28,-3.88,6.68,10.20,12.80
0.288,0.01,0.29,-3.85,6.50,10.00,12.60
0.298,0.01,0.30,-3.67,6.44,9.62,12.10
0.308,0.01,0.31,-3.41,6.56,8.85,11.50
0.318,0.01,0.32,-3.26,6.65,8.28,11.10
0.328,0.01,0.33,-3.57,6.37,8.02,10.90
0.338,0.01,0.34,-4.31,5.82,8.32,11.00
0.348,0.01,0.35,-5.10,5.23,9.07,11.60
0.358,0.01,0.36,-5.65,4.79,10.00,12.40
0.368,0.01,0.37,-5.97,4.39,10.60,12.90
0.378,0.01,0.38,-5.94,4.06,10.70,12.90
0.388,0.01,0.39,-5.49,4.22,10.20,12.30
0.398,0.01,0.40,-4.87,4.66,9.35,11.50
0.408,0.01,0.41,-4.42,4.97,8.71,11.00
0.417,0.009,0.42,-4.02,5.17,8.33,10.60
0.427,0.01,0.43,-3.75,5.10,8.13,10.30
0.437,0.01,0.44,-3.55,4.80,7.80,9.82
0.447,0.01,0.45,-3.15,4.49,7.16,9.02
0.457,0.01,0.46,-2.60,4.24,6.49,8.18
0.467,0.01,0.47,-1.96,4.22,5.89,7.51
0.477,0.01,0.48,-1.54,4.07,5.36,6.91
0.487,0.01,0.49,-1.29,4.04,5.00,6.56
0.497,0.01,0.50,-1.07,3.72,5.14,6.43
0.507,0.01,0.51,-0.85,2.47,6.04,6.58
0.517,0.01,0.52,-1.17,3.01,4.99,5.94
0.527,0.01,0.53,-0.97,4.27,4.86,6.54
0.537,0.01,0.54,-0.37,3.70,5.30,6.47
0.547,0.01,0.55,-0.47,3.72,4.85,6.13
0.557,0.01,0.56,-0.65,4.06,4.87,6.38
0.566,0.009,0.57,-0.50,3.97,5.32,6.65
0.576,0.01,0.58,-0.77,4.15,5.26,6.75
0.586,0.01,0.59,-0.82,3.81,5.83,7.02
0.596,0.01,0.60,-0.55,3.66,6.01,7.06
0.606,0.01,0.61,-0.32,3.84,5.98,7.11
0.616,0.01,0.62,-0.03,4.13,5.99,7.28
0.626,0.01,0.63,0.22,4.55,6.06,7.58
0.636,0.01,0.64,0.37,4.90,6.28,7.98
0.646,0.01,0.65,0.31,5.04,6.39,8.15
0.656,0.01,0.66,0.02,4.96,6.74,8.37
0.666,0.01,0.67,-0.27,5.15,7.60,9.19
0.676,0.01,0.68,-0.31,5.52,8.61,10.20
0.686,0.01,0.69,-0.26,5.73,9.68,11.30
0.696,0.01,0.70,-0.34,5.56,10.50,11.90
0.706,0.01,0.71,-0.35,5.18,10.80,12.00
0.715,0.009,0.72,-0.32,4.96,10.90,12.00
0.725,0.01,0.73,-0.14,5.18,11.00,12.10
0.735,0.01,0.74,0.19,5.45,11.20,12.40
0.745,0.01,0.75,0.39,5.57,11.30,12.60
0.755,0.01,0.76,0.57,5.56,11.40,12.70
0.765,0.01,0.77,0.94,5.57,11.70,13.00
0.775,0.01,0.78,1.52,5.72,11.90,13.30
0.785,0.01,0.79,2.03,5.95,11.80,13.30
0.795,0.01,0.80,2.20,6.09,11.30,13.00
0.805,0.01,0.81,2.08,5.96,11.10,12.80
0.815,0.01,0.82,1.86,5.80,11.30,12.90
0.825,0.01,0.83,1.65,5.61,11.60,13.00
0.835,0.01,0.84,1.29,5.00,11.70,12.80
0.845,0.01,0.85,1.06,4.59,11.80,12.70
0.855,0.01,0.86,0.76,4.20,11.80,12.50
0.864,0.009,0.86,0.37,3.66,11.80,12.30
0.874,0.01,0.87,0.15,3.18,11.60,12.10
0.884,0.01,0.88,0.04,2.79,11.30,11.60
0.894,0.01,0.89,-0.04,2.55,10.70,11.00
0.904,0.01,0.90,-0.17,2.47,10.00,10.30
0.914,0.01,0.91,-0.57,2.50,9.98,10.30
