"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.140737501E-2,6.721023560E-2,7.028035126E0,7.313641205E0,1.014332996E1
4.136637499E-2,6.316864014E-2,7.071893921E0,7.027735748E0,9.970192759E0
5.132537501E-2,9.759704590E-2,7.097191315E0,6.755152588E0,9.798557865E0
6.128437500E-2,1.380130005E-1,7.128326569E0,6.487958221E0,9.639797152E0
7.124337499E-2,1.085243225E-1,7.202123108E0,6.227050781E0,9.521476578E0
8.120337498E-2,3.068618774E-2,7.290888519E0,6.030060425E0,9.461481162E0
9.116237500E-2,-4.984634399E-2,7.349416809E0,5.876180420E0,9.409883550E0
1.011213750E-1,-1.272354126E-1,7.435637512E0,5.780679016E0,9.419190196E0
1.110803750E-1,-2.243833923E-1,7.513325958E0,5.707181854E0,9.437814343E0
1.210403750E-1,-3.379971313E-1,7.573500824E0,5.685626678E0,9.476207444E0
1.309993750E-1,-4.242178345E-1,7.620802460E0,5.732628937E0,9.545660031E0
1.409583750E-1,-4.715194702E-1,7.645950165E0,5.839356995E0,9.632288131E0
1.509173750E-1,-4.800517273E-1,7.657176819E0,5.999224548E0,9.739276240E0
1.608763750E-1,-4.881349182E-1,7.642806702E0,6.121819611E0,9.804460481E0
1.708363750E-1,-4.950205994E-1,7.608827362E0,6.258036346E0,9.864193740E0
1.807953750E-1,-5.120851135E-1,7.545059967E0,6.340963898E0,9.869041707E0
1.907543750E-1,-5.652246094E-1,7.449259186E0,6.388714600E0,9.829883799E0
2.007133750E-1,-5.824388123E-1,7.322023773E0,6.482569427E0,9.796681759E0
2.106733750E-1,-5.519023132E-1,7.206763458E0,6.580016785E0,9.774387786E0
2.206323750E-1,-5.071453857E-1,7.158264313E0,6.663543091E0,9.792892879E0
2.305913750E-1,-5.120851135E-1,7.160958710E0,6.759493561E0,9.860644705E0
2.405503750E-1,-4.770579529E-1,7.173682251E0,6.913523254E0,9.974272160E0
2.505093750E-1,-3.483256531E-1,7.166197815E0,7.041357422E0,1.005268304E1
2.604693750E-1,-2.836601257E-1,7.130422211E0,7.094796295E0,1.006277886E1
2.704283750E-1,-2.622546387E-1,7.076085205E0,7.069049835E0,1.000555970E1
2.803873750E-1,-2.772235107E-1,7.044949951E0,7.055278473E0,9.974223129E0
2.903463750E-1,-2.968327332E-1,7.013964386E0,7.040309601E0,9.942321930E0
3.003063750E-1,-2.859054565E-1,7.001240845E0,7.050937500E0,9.940565121E0
3.102653750E-1,-2.568658447E-1,6.985673218E0,7.042704620E0,9.922968242E0
3.202243750E-1,-2.430944824E-1,6.949448547E0,7.051386566E0,9.903331891E0
3.301833750E-1,-2.320175171E-1,6.952442322E0,7.101382599E0,9.940820951E0
3.401423750E-1,-1.848655701E-1,6.974446564E0,7.180867310E0,1.001208947E1
3.501023750E-1,-1.432521057E-1,6.980733490E0,7.226222992E0,1.004835608E1
3.600613750E-1,-1.841171265E-1,6.942712555E0,7.178771667E0,9.988489345E0
3.700203750E-1,-2.362088013E-1,6.891519012E0,7.099286957E0,9.896903768E0
3.799793750E-1,-2.502795410E-1,6.850354614E0,7.004833374E0,9.800902448E0
3.899393750E-1,-2.884501648E-1,6.819818115E0,6.918313293E0,9.718857003E0
3.998983750E-1,-3.228785706E-1,6.768923950E0,6.867718506E0,9.648219498E0
4.098573750E-1,-3.517684937E-1,6.762187958E0,6.820117493E0,9.610667493E0
4.198163750E-1,-3.863465881E-1,6.775360565E0,6.827901306E0,9.626786105E0
4.297753750E-1,-4.577481079E-1,6.804849243E0,6.821464691E0,9.646133271E0
4.397353750E-1,-5.539979553E-1,6.843169556E0,6.771169281E0,9.642853143E0
4.496943750E-1,-6.303392029E-1,6.840774536E0,6.780899048E0,9.652674016E0
4.596533750E-1,-6.005511475E-1,6.783294067E0,6.917265472E0,9.706817280E0
4.696123750E-1,-5.177732849E-1,6.720424805E0,7.080575867E0,9.775824944E0
4.795713750E-1,-3.852987671E-1,6.701863403E0,7.212002563E0,9.852736127E0
4.895313750E-1,-3.397933960E-1,6.712640991E0,7.253166962E0,9.888550935E0
4.994903750E-1,-3.743714905E-1,6.817423096E0,7.241491241E0,9.952718577E0
