"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.821000002E-2,-4.363426208E-1,4.950355682E0,6.767876129E0,8.396461372E0
3.827199992E-2,-3.360511780E-1,4.895868988E0,7.177574158E0,8.694828022E0
4.833399993E-2,-3.489244080E-1,4.963228912E0,7.430847473E0,8.942755931E0
5.839699996E-2,-4.201762390E-1,5.144951019E0,7.466174011E0,9.076939100E0
6.845899997E-2,-4.171824646E-1,5.361400909E0,7.468569031E0,9.203161646E0
7.852200000E-2,-4.183799744E-1,5.603297882E0,7.523953857E0,9.390520252E0
8.858400001E-2,-5.092410278E-1,5.837710419E0,7.580835571E0,9.581610372E0
9.864699992E-2,-6.981481934E-1,6.069129181E0,7.721243591E0,9.845777903E0
1.087089999E-1,-9.488768005E-1,6.238277435E0,8.015082550E0,1.020088334E1
1.187720000E-1,-1.206042023E0,6.358776855E0,8.228538666E0,1.046887907E1
1.288340000E-1,-1.447190552E0,6.553821259E0,8.377478943E0,1.073448122E1
1.388970000E-1,-1.601819000E0,6.747668152E0,8.440946960E0,1.092457941E1
1.489590000E-1,-1.732646942E0,6.914571075E0,8.497080231E0,1.109115553E1
1.590219999E-1,-1.841320953E0,7.020850067E0,8.500223694E0,1.117750425E1
1.690839999E-1,-1.962568817E0,7.014263763E0,8.615783386E0,1.128198989E1
1.791470000E-1,-2.054178314E0,6.949448547E0,8.791218567E0,1.139298063E1
1.892090000E-1,-2.138003998E0,6.882088623E0,8.928632812E0,1.147408771E1
1.992720000E-1,-2.165097656E0,6.759643250E0,8.997789001E0,1.146039404E1
2.093340000E-1,-2.115401001E0,6.547384644E0,8.957822113E0,1.129538596E1
2.193969999E-1,-2.068398743E0,6.414161682E0,8.923244019E0,1.118230867E1
2.294589999E-1,-2.092798004E0,6.419999542E0,8.948391724E0,1.121025923E1
2.395220000E-1,-2.131118317E0,6.215375061E0,9.146579590E0,1.126199230E1
2.495840000E-1,-2.373763733E0,5.835614777E0,9.492360535E0,1.139271972E1
2.596470000E-1,-2.908900909E0,5.442083130E0,9.861792297E0,1.163326784E1
2.697090000E-1,-3.489992523E0,5.140310669E0,9.891879730E0,1.168127246E1
2.797719999E-1,-3.909869385E0,4.907395020E0,9.578730927E0,1.145083799E1
2.898339999E-1,-4.172423401E0,4.692442017E0,8.917855225E0,1.090670761E1
2.998970000E-1,-4.055666199E0,4.546345825E0,8.121062164E0,1.015230710E1
3.099590000E-1,-3.599265289E0,4.390370178E0,7.687563629E0,9.556604809E0
3.200220000E-1,-3.103346558E0,4.363875275E0,7.532635803E0,9.242011113E0
3.300840000E-1,-2.714904327E0,4.402794342E0,7.380552063E0,9.012649570E0
3.401469999E-1,-2.539918213E0,4.523293762E0,6.988068237E0,8.703129821E0
3.502089999E-1,-2.484234009E0,4.715494080E0,6.730304260E0,8.585120760E0
3.602720000E-1,-2.431393890E0,4.867577820E0,6.520590363E0,8.492531352E0
3.703340000E-1,-2.658471680E0,4.873715057E0,6.460415497E0,8.518071291E0
3.803970000E-1,-2.717898102E0,4.880301361E0,6.471941528E0,8.549288778E0
3.904590000E-1,-2.742746429E0,5.039570160E0,6.406078491E0,8.599870174E0
4.005219999E-1,-2.668800201E0,5.225782928E0,6.294560394E0,8.605393209E0
4.105839999E-1,-2.503992920E0,5.315596161E0,6.213728485E0,8.551956780E0
4.206470000E-1,-2.282902679E0,5.459596710E0,6.151158600E0,8.535548782E0
4.307090000E-1,-1.985471191E0,5.539530487E0,6.165678406E0,8.523149891E0
4.407720000E-1,-1.781146088E0,5.421426086E0,6.390959930E0,8.567888365E0
4.508340000E-1,-1.741029510E0,5.205425262E0,6.697223053E0,8.659124236E0
4.608969999E-1,-1.836830292E0,5.019362183E0,6.957382050E0,8.773431895E0
4.709589999E-1,-1.936223602E0,4.819527740E0,7.229067078E0,8.901472928E0
4.810220000E-1,-1.977537689E0,4.611161041E0,7.550149384E0,9.065220194E0
4.910840000E-1,-2.025138702E0,4.439767456E0,7.780969391E0,9.184563489E0
5.011470000E-1,-2.063459015E0,4.261937256E0,7.934550018E0,9.240078802E0
