Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
0.049,1.842,3.327,9.255,10.006,Walking
0.059,1.843,3.345,9.346,10.096,Walking
0.069,2.027,3.384,9.405,10.199,Walking
0.079,2.202,3.517,9.43,10.302,Walking
0.089,2.421,3.681,9.388,10.371,Walking
0.099,2.612,3.766,9.239,10.313,Walking
0.109,2.674,3.785,9.128,10.237,Walking
0.119,2.589,3.761,9.061,10.147,Walking
0.129,2.424,3.743,8.922,9.974,Walking
0.139,2.304,3.73,8.76,9.796,Walking
0.149,2.299,3.667,8.716,9.731,Walking
0.159,2.311,3.584,8.759,9.742,Walking
0.169,2.348,3.464,8.888,9.824,Walking
0.179,2.403,3.407,8.993,9.912,Walking
0.189,2.528,3.424,9.054,10.004,Walking
0.199,2.641,3.444,9.129,10.108,Walking
0.209,2.755,3.495,9.13,10.157,Walking
0.219,2.879,3.623,9.165,10.267,Walking
0.229,3.14,3.704,9.22,10.42,Walking
0.239,3.454,3.769,9.224,10.546,Walking
0.249,3.726,3.783,9.15,10.578,Walking
0.259,4.126,3.858,8.944,10.578,Walking
0.269,4.551,3.916,8.667,10.544,Walking
0.279,4.777,3.833,8.42,10.412,Walking
0.289,5.024,3.703,8.191,10.298,Walking
0.299,5.347,3.541,8.033,10.279,Walking
0.309,5.568,3.383,7.968,10.293,Walking
0.319,5.623,3.173,7.993,10.275,Walking
0.329,5.643,2.934,8.029,10.243,Walking
0.339,5.704,2.815,8.106,10.304,Walking
0.349,5.734,2.665,8.166,10.328,Walking
0.359,5.638,2.459,8.219,10.266,Walking
0.369,5.528,2.279,8.219,10.164,Walking
0.379,5.497,2.207,8.265,10.168,Walking
0.389,5.501,2.112,8.254,10.142,Walking
0.399,5.424,1.956,8.207,10.03,Walking
0.409,5.333,1.833,8.123,9.889,Walking
0.419,5.324,1.775,7.948,9.73,Walking
0.429,5.289,1.7,7.74,9.527,Walking
0.439,5.198,1.502,7.641,9.362,Walking
0.449,5.163,1.202,7.551,9.226,Walking
0.459,5.227,0.824,7.433,9.125,Walking
0.469,5.344,0.494,7.452,9.183,Walking
0.479,5.497,0.179,7.43,9.244,Walking
0.489,5.807,-0.015,7.321,9.345,Walking
0.499,6.079,-0.067,7.407,9.582,Walking
0.509,6.139,-0.212,7.626,9.792,Walking
0.519,6.295,-0.389,7.704,9.957,Walking
0.529,6.66,-0.517,7.781,10.255,Walking
0.539,6.977,-0.645,7.9,10.56,Walking
0.549,7.117,-0.734,7.945,10.692,Walking
0.559,7.204,-0.782,7.98,10.779,Walking
0.569,7.264,-0.885,7.911,10.777,Walking
0.579,7.245,-1.155,7.86,10.752,Walking
0.589,7.078,-1.413,7.753,10.592,Walking
0.599,6.639,-1.49,7.406,10.057,Walking
0.609,6.034,-1.25,6.859,9.22,Walking
0.619,5.136,-0.953,6.627,8.439,Walking
0.629,4.482,-0.85,6.69,8.097,Walking
0.639,4.076,-0.837,6.585,7.79,Walking
0.649,3.735,-1.092,6.899,7.921,Walking
0.659,4.064,-1.566,7.536,8.704,Walking
0.669,4.743,-2.069,8.072,9.588,Walking
0.679,5.25,-2.387,8.637,10.386,Walking
0.689,5.549,-2.408,8.88,10.744,Walking
0.699,5.516,-2.37,8.931,10.762,Walking
0.709,5.455,-2.305,8.909,10.698,Walking
0.719,5.856,-2.217,9.042,10.998,Walking
0.729,6.348,-2.621,9.138,11.431,Walking
0.739,6.811,-3.058,9.293,11.92,Walking
0.749,7.162,-3.09,9.398,12.213,Walking
0.759,7.173,-2.845,9.524,12.258,Walking
0.769,7.023,-2.482,9.505,12.076,Walking
0.779,6.852,-2.03,9.3,11.728,Walking
0.789,6.872,-1.528,9.014,11.437,Walking
0.799,6.941,-1.215,8.9,11.351,Walking
0.809,6.973,-1.267,8.924,11.396,Walking
0.819,7.208,-1.351,8.914,11.543,Walking
0.829,7.393,-1.275,8.825,11.583,Walking
0.839,7.217,-0.973,8.685,11.334,Walking
0.849,6.964,-0.559,8.573,11.059,Walking
0.859,6.778,-0.115,8.382,10.78,Walking
0.869,6.993,0.313,8.085,10.694,Walking
0.879,7.355,0.61,8.12,10.973,Walking
0.889,7.382,0.277,8.818,11.504,Walking
0.899,7.379,-0.64,9.741,12.237,Walking
0.909,7.518,-1.488,10.37,12.894,Walking
0.919,7.635,-1.994,10.437,13.085,Walking
0.929,7.743,-1.976,10.372,13.094,Walking
0.939,7.468,-1.48,10.593,13.045,Walking
0.949,6.879,-0.722,10.843,12.861,Walking
0.959,6.625,-0.169,10.789,12.662,Walking
0.969,6.672,0.036,10.609,12.532,Walking
0.979,6.781,0.073,10.529,12.524,Walking
0.989,6.941,-0.011,10.329,12.444,Walking
0.999,7.128,0.002,10.109,12.369,Walking
1.009,7.308,0.185,9.983,12.373,Walking
1.019,7.281,0.451,9.914,12.309,Walking
1.029,7.023,0.619,9.675,11.972,Walking
1.039,6.828,0.874,9.347,11.609,Walking
1.049,6.759,1.336,9.035,11.362,Walking
1.059,6.585,1.859,8.911,11.235,Walking
1.069,6.387,2.332,8.743,11.075,Walking
1.079,6.265,2.714,8.597,10.978,Walking
1.089,6.254,2.973,8.453,10.927,Walking
1.099,6.275,3.098,8.298,10.855,Walking
1.109,6.168,3.112,8.101,10.647,Walking
1.119,5.954,2.978,7.922,10.348,Walking
1.129,5.939,2.81,7.832,10.223,Walking
1.139,6.014,2.609,7.764,10.161,Walking
1.149,6.095,2.426,7.662,10.086,Walking
1.159,6.064,2.331,7.569,9.975,Walking
1.169,6.039,2.294,7.409,9.829,Walking
1.179,6.091,2.293,7.328,9.801,Walking
1.189,6.3,2.306,7.472,10.042,Walking
1.199,6.576,2.309,7.747,10.421,Walking
1.209,6.806,2.314,8.025,10.774,Walking
1.219,6.99,2.172,8.286,11.056,Walking
1.229,7.138,1.957,8.543,11.303,Walking
1.239,7.387,1.799,8.744,11.587,Walking
1.249,7.789,1.692,8.85,11.91,Walking
1.259,8.216,1.576,8.864,12.188,Walking
1.269,8.409,1.416,8.796,12.25,Walking
1.279,8.437,1.264,8.702,12.186,Walking
1.289,8.366,1.177,8.495,11.981,Walking
1.299,8.164,1.141,8.208,11.633,Walking
1.309,8.077,1.151,7.995,11.423,Walking
1.319,8.073,1.16,7.898,11.354,Walking
1.329,8.15,1.082,7.852,11.369,Walking
1.339,8.447,0.955,7.782,11.525,Walking
1.349,8.791,0.708,7.742,11.736,Walking
1.359,9.15,0.383,7.646,11.93,Walking
1.369,9.383,0.107,7.426,11.966,Walking
1.379,9.424,-0.025,7.121,11.812,Walking
1.389,9.388,-0.101,6.869,11.633,Walking
1.399,9.342,-0.248,6.661,11.476,Walking
1.409,9.28,-0.418,6.382,11.27,Walking
1.419,9.203,-0.551,6.05,11.027,Walking
1.429,9.158,-0.663,5.713,10.815,Walking
1.439,9.087,-0.794,5.425,10.613,Walking
1.449,8.976,-0.88,5.186,10.404,Walking
1.459,8.724,-0.953,4.886,10.045,Walking
1.469,8.298,-1.03,4.56,9.524,Walking
1.479,7.925,-1.142,4.27,9.074,Walking
1.489,7.641,-1.257,3.999,8.715,Walking
1.499,7.552,-1.288,3.785,8.545,Walking
1.509,7.395,-1.334,3.572,8.32,Walking
1.519,7.268,-1.473,3.373,8.146,Walking
1.529,7.224,-1.624,3.223,8.075,Walking
1.539,7.168,-1.826,3.109,8.023,Walking
1.549,7.182,-2.113,3.062,8.088,Walking
1.559,7.278,-2.404,3.061,8.253,Walking
1.569,7.367,-2.563,3.123,8.402,Walking
1.579,7.487,-2.554,3.235,8.546,Walking
1.589,7.538,-2.412,3.282,8.568,Walking
1.599,7.54,-2.186,3.338,8.531,Walking
1.609,7.506,-1.972,3.333,8.446,Walking
1.619,7.495,-1.891,3.324,8.414,Walking
1.629,7.5,-1.893,3.296,8.408,Walking
1.639,7.516,-1.894,3.252,8.406,Walking
1.649,7.563,-1.913,3.244,8.449,Walking
1.659,7.585,-1.913,3.307,8.493,Walking
1.669,7.59,-1.846,3.427,8.53,Walking
1.679,7.575,-1.751,3.536,8.541,Walking
1.689,7.536,-1.666,3.617,8.524,Walking
1.699,7.559,-1.572,3.705,8.564,Walking
1.709,7.558,-1.467,3.717,8.549,Walking
1.719,7.494,-1.397,3.671,8.46,Walking
1.729,7.458,-1.431,3.679,8.438,Walking
1.739,7.513,-1.434,3.726,8.508,Walking
1.749,7.505,-1.388,3.784,8.518,Walking
