Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
0.02821,-0.436,4.95,6.768,8.396,Walking
0.038272,-0.336,4.896,7.178,8.695,Walking
0.048334,-0.349,4.963,7.431,8.943,Walking
0.058397,-0.42,5.145,7.466,9.077,Walking
0.068459,-0.417,5.361,7.469,9.203,Walking
0.078522,-0.418,5.603,7.524,9.391,Walking
0.088584,-0.509,5.838,7.581,9.582,Walking
0.098647,-0.698,6.069,7.721,9.846,Walking
0.108709,-0.949,6.238,8.015,10.201,Walking
0.118772,-1.206,6.359,8.229,10.469,Walking
0.128834,-1.447,6.554,8.377,10.734,Walking
0.138897,-1.602,6.748,8.441,10.925,Walking
0.148959,-1.733,6.915,8.497,11.091,Walking
0.159022,-1.841,7.021,8.5,11.178,Walking
0.169084,-1.963,7.014,8.616,11.282,Walking
0.179147,-2.054,6.949,8.791,11.393,Walking
0.189209,-2.138,6.882,8.929,11.474,Walking
0.199272,-2.165,6.76,8.998,11.46,Walking
0.209334,-2.115,6.547,8.958,11.295,Walking
0.219397,-2.068,6.414,8.923,11.182,Walking
0.229459,-2.093,6.42,8.948,11.21,Walking
0.239522,-2.131,6.215,9.147,11.262,Walking
0.249584,-2.374,5.836,9.492,11.393,Walking
0.259647,-2.909,5.442,9.862,11.633,Walking
0.269709,-3.49,5.14,9.892,11.681,Walking
0.279772,-3.91,4.907,9.579,11.451,Walking
0.289834,-4.172,4.692,8.918,10.907,Walking
0.299897,-4.056,4.546,8.121,10.152,Walking
0.309959,-3.599,4.39,7.688,9.557,Walking
0.320022,-3.103,4.364,7.533,9.242,Walking
0.330084,-2.715,4.403,7.381,9.013,Walking
0.340147,-2.54,4.523,6.988,8.703,Walking
0.350209,-2.484,4.715,6.73,8.585,Walking
0.360272,-2.431,4.868,6.521,8.493,Walking
0.370334,-2.658,4.874,6.46,8.518,Walking
0.380397,-2.718,4.88,6.472,8.549,Walking
0.390459,-2.743,5.04,6.406,8.6,Walking
0.400522,-2.669,5.226,6.295,8.605,Walking
0.410584,-2.504,5.316,6.214,8.552,Walking
0.420647,-2.283,5.46,6.151,8.536,Walking
0.430709,-1.985,5.54,6.166,8.523,Walking
0.440772,-1.781,5.421,6.391,8.568,Walking
0.450834,-1.741,5.205,6.697,8.659,Walking
0.460897,-1.837,5.019,6.957,8.773,Walking
0.470959,-1.936,4.82,7.229,8.901,Walking
0.481022,-1.978,4.611,7.55,9.065,Walking
0.491084,-2.025,4.44,7.781,9.185,Walking
0.501147,-2.063,4.262,7.935,9.24,Walking
0.511209,-2.015,4.069,8.063,9.253,Walking
0.521272,-1.872,3.923,8.22,9.298,Walking
0.531334,-1.692,3.86,8.32,9.327,Walking
0.541397,-1.502,3.874,8.41,9.38,Walking
0.551459,-1.312,3.906,8.529,9.472,Walking
0.561522,-1.169,3.932,8.638,9.563,Walking
0.571584,-1.058,4.01,8.809,9.737,Walking
0.581647,-0.981,4.062,9.029,9.949,Walking
0.591709,-1.013,4.092,9.151,10.075,Walking
0.601772,-1.146,4.159,9.263,10.219,Walking
0.611834,-1.286,4.264,9.388,10.391,Walking
0.621897,-1.164,4.363,9.458,10.48,Walking
0.631959,-1.001,4.361,9.366,10.38,Walking
0.642022,-0.905,4.372,9.214,10.238,Walking
0.652084,-0.61,4.608,9.142,10.256,Walking
0.662147,-0.249,4.825,8.957,10.177,Walking
0.672209,-0.027,4.95,8.662,9.976,Walking
0.682272,0.065,5.029,8.453,9.836,Walking
0.692336917,0.044,5.053,8.234,9.661,Walking
0.702399917,-0.166,5.074,7.986,9.463,Walking
0.712461917,-0.391,5.051,7.722,9.236,Walking
0.722524917,-0.656,5.002,7.376,8.936,Walking
0.732586917,-0.945,4.951,6.957,8.591,Walking
0.742649917,-1.09,4.798,6.462,8.122,Walking
0.752711917,-1.088,4.575,5.85,7.506,Walking
0.762774917,-0.986,4.321,5.157,6.799,Walking
0.772836917,-0.81,4.017,4.549,6.123,Walking
0.782899917,-0.753,3.593,3.702,5.213,Walking
0.792961917,-0.963,3.153,2.948,4.422,Walking
0.803024917,-1.335,2.678,2.531,3.919,Walking
0.813086917,-1.815,2.098,2.622,3.817,Walking
0.823149917,-2.498,1.527,3.026,4.211,Walking
0.833211917,-3.259,1.034,3.434,4.846,Walking
0.843274917,-4.078,0.593,3.788,5.597,Walking
0.853336917,-4.696,0.243,3.94,6.135,Walking
0.863399917,-4.969,0.007,3.821,6.269,Walking
0.873461917,-5.017,-0.354,3.524,6.141,Walking
0.883524917,-5.052,-0.772,3.047,5.95,Walking
0.893586917,-5.32,-0.942,2.507,5.956,Walking
0.903649917,-5.931,-1.008,2.207,6.408,Walking
0.913711917,-7.086,-1.115,2.443,7.578,Walking
0.923774917,-8.656,-1.271,3.023,9.257,Walking
0.933836917,-10.216,-1.487,3.631,10.944,Walking
0.943899917,-11.894,-1.687,4.055,12.679,Walking
0.953961917,-13.269,-1.889,4.191,14.043,Walking
0.964024917,-13.826,-2.027,4.082,14.558,Walking
0.974086917,-13.934,-2.007,3.895,14.606,Walking
0.984149917,-13.865,-1.855,3.738,14.48,Walking
0.994211917,-13.611,-1.717,3.591,14.181,Walking
1.004274917,-13.409,-1.584,3.557,13.963,Walking
1.014336917,-13.298,-1.443,3.503,13.827,Walking
1.024399917,-13.207,-1.298,3.462,13.714,Walking
1.034461917,-13.209,-1.143,3.38,13.682,Walking
1.044524917,-13.115,-1.124,3.415,13.599,Walking
1.054586917,-13.512,-1.299,3.459,14.008,Walking
1.064649917,-14.214,-1.518,3.31,14.673,Walking
1.074711917,-14.503,-1.737,3.017,14.915,Walking
1.084774917,-14.53,-1.785,2.741,14.894,Walking
1.094836917,-14.394,-1.641,2.59,14.717,Walking
1.104899917,-14.148,-1.453,2.44,14.43,Walking
1.114961917,-13.968,-1.267,2.356,14.222,Walking
