Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity
0.031,0.067,7.028,7.314,10.143,Walking
0.041,0.063,7.072,7.028,9.97,Walking
0.051,0.098,7.097,6.755,9.799,Walking
0.061,0.138,7.128,6.488,9.64,Walking
0.071,0.109,7.202,6.227,9.521,Walking
0.081,0.031,7.291,6.03,9.461,Walking
0.091,-0.05,7.349,5.876,9.41,Walking
0.101,-0.127,7.436,5.781,9.419,Walking
0.111,-0.224,7.513,5.707,9.438,Walking
0.121,-0.338,7.574,5.686,9.476,Walking
0.131,-0.424,7.621,5.733,9.546,Walking
0.141,-0.472,7.646,5.839,9.632,Walking
0.151,-0.48,7.657,5.999,9.739,Walking
0.161,-0.488,7.643,6.122,9.804,Walking
0.171,-0.495,7.609,6.258,9.864,Walking
0.181,-0.512,7.545,6.341,9.869,Walking
0.191,-0.565,7.449,6.389,9.83,Walking
0.201,-0.582,7.322,6.483,9.797,Walking
0.211,-0.552,7.207,6.58,9.774,Walking
0.221,-0.507,7.158,6.664,9.793,Walking
0.231,-0.512,7.161,6.759,9.861,Walking
0.241,-0.477,7.174,6.914,9.974,Walking
0.251,-0.348,7.166,7.041,10.053,Walking
0.26,-0.284,7.13,7.095,10.063,Walking
0.27,-0.262,7.076,7.069,10.006,Walking
0.28,-0.277,7.045,7.055,9.974,Walking
0.29,-0.297,7.014,7.04,9.942,Walking
0.3,-0.286,7.001,7.051,9.941,Walking
0.31,-0.257,6.986,7.043,9.923,Walking
0.32,-0.243,6.949,7.051,9.903,Walking
0.33,-0.232,6.952,7.101,9.941,Walking
0.34,-0.185,6.974,7.181,10.012,Walking
0.35,-0.143,6.981,7.226,10.048,Walking
0.36,-0.184,6.943,7.179,9.988,Walking
0.37,-0.236,6.892,7.099,9.897,Walking
0.38,-0.25,6.85,7.005,9.801,Walking
0.39,-0.288,6.82,6.918,9.719,Walking
0.4,-0.323,6.769,6.868,9.648,Walking
0.41,-0.352,6.762,6.82,9.611,Walking
0.42,-0.386,6.775,6.828,9.627,Walking
0.43,-0.458,6.805,6.821,9.646,Walking
0.44,-0.554,6.843,6.771,9.643,Walking
0.45,-0.63,6.841,6.781,9.653,Walking
0.46,-0.601,6.783,6.917,9.707,Walking
0.47,-0.518,6.72,7.081,9.776,Walking
0.48,-0.385,6.702,7.212,9.853,Walking
0.49,-0.34,6.713,7.253,9.889,Walking
0.499,-0.374,6.817,7.241,9.953,Walking
0.509,-0.429,6.96,7.172,10.004,Walking
0.519,-0.449,7.103,7.001,9.983,Walking
0.529,-0.724,7.281,6.884,10.046,Walking
0.539,-0.935,7.444,6.849,10.158,Walking
0.549,-0.874,7.613,6.845,10.275,Walking
0.559,-0.725,7.759,6.826,10.359,Walking
0.569,-0.729,7.909,6.67,10.371,Walking
0.579,-0.799,8.019,6.441,10.317,Walking
0.589,-0.88,8.024,6.279,10.226,Walking
0.599,-0.92,7.973,6.181,10.13,Walking
0.609,-0.916,7.853,6.115,9.995,Walking
0.619,-0.894,7.691,5.998,9.794,Walking
0.629,-0.898,7.524,5.871,9.586,Walking
0.639,-0.892,7.374,5.76,9.399,Walking
0.649,-0.863,7.232,5.678,9.235,Walking
0.659,-0.891,7.124,5.626,9.121,Walking
0.669,-0.93,7.048,5.771,9.156,Walking
0.679,-0.887,6.989,5.959,9.227,Walking
0.689,-0.811,6.938,6.125,9.29,Walking
0.699,-0.763,6.923,6.191,9.319,Walking
0.709,-0.778,6.923,6.165,9.303,Walking
0.719,-0.843,6.923,6.106,9.27,Walking
0.729,-0.941,6.945,6.032,9.247,Walking
0.739,-1.088,6.976,5.927,9.218,Walking
0.748,-1.296,7.033,5.82,9.221,Walking
0.758,-1.563,7.12,5.745,9.281,Walking
0.768,-1.783,7.216,5.711,9.374,Walking
0.778,-1.939,7.323,5.732,9.5,Walking
0.788,-2.036,7.45,5.837,9.681,Walking
0.798,-2.047,7.565,5.995,9.867,Walking
0.808,-1.971,7.637,6.171,10.014,Walking
0.818,-1.877,7.606,6.378,10.102,Walking
0.828,-1.814,7.529,6.639,10.2,Walking
0.838,-1.647,7.381,6.888,10.229,Walking
0.848,-1.424,7.147,7.082,10.162,Walking
0.858,-1.238,6.902,7.314,10.133,Walking
0.868,-1.018,6.684,7.555,10.139,Walking
0.878,-0.882,6.506,7.793,10.19,Walking
0.888,-0.81,6.383,8.062,10.315,Walking
0.898,-0.768,6.323,8.287,10.452,Walking
