"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678838852326079E9,"2023-03-14 20:07:32.326 UTC-04:00"
"PAUSE",1.142564474166720E2,1.678838966600838E9,"2023-03-14 20:09:26.601 UTC-04:00"
"START",1.142564474166720E2,1.678839099751256E9,"2023-03-14 20:11:39.751 UTC-04:00"
"PAUSE",1.913083755416737E2,1.678839176802796E9,"2023-03-14 20:12:56.803 UTC-04:00"
"START",1.913083755416737E2,1.678839210607808E9,"2023-03-14 20:13:30.608 UTC-04:00"
"PAUSE",2.688531098750245E2,1.678839288152152E9,"2023-03-14 20:14:48.152 UTC-04:00"
"START",2.688531098750245E2,1.678839476638769E9,"2023-03-14 20:17:56.639 UTC-04:00"
"PAUSE",3.317643964166928E2,1.678839539549739E9,"2023-03-14 20:18:59.550 UTC-04:00"
"START",3.317643964166928E2,1.678839576380943E9,"2023-03-14 20:19:36.381 UTC-04:00"
"PAUSE",3.955488347916980E2,1.678839640165060E9,"2023-03-14 20:20:40.165 UTC-04:00"
