"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678838860478499E9,"2023-03-14 20:07:40.478 UTC-04:00"
"PAUSE",1.064749694583006E2,1.678838966952105E9,"2023-03-14 20:09:26.952 UTC-04:00"
"START",1.064749694583006E2,1.678839221277944E9,"2023-03-14 20:13:41.278 UTC-04:00"
"PAUSE",1.829358772082487E2,1.678839297737872E9,"2023-03-14 20:14:57.738 UTC-04:00"
"START",1.829358772082487E2,1.678839483778835E9,"2023-03-14 20:18:03.779 UTC-04:00"
"PAUSE",2.374559040415334E2,1.678839538298164E9,"2023-03-14 20:18:58.298 UTC-04:00"
"START",2.374559040415334E2,1.678839554235442E9,"2023-03-14 20:19:14.235 UTC-04:00"
"PAUSE",2.926103389998898E2,1.678839609389171E9,"2023-03-14 20:20:09.389 UTC-04:00"
"START",2.926103389998898E2,1.678839621404631E9,"2023-03-14 20:20:21.405 UTC-04:00"
"PAUSE",3.112525951665593E2,1.678839640046648E9,"2023-03-14 20:20:40.047 UTC-04:00"
