"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.888795834e-2,1.841770020e0,3.327131195e0,9.255103912e0,1.000594160e1
5.888695834e-2,1.842668152e0,3.345243530e0,9.345665588e0,1.009591727e1
6.888595834e-2,2.027084656e0,3.384312286e0,9.405391388e0,1.019921708e1
7.888495833e-2,2.202070770e0,3.517086182e0,9.429790649e0,1.030242508e1
8.888395833e-2,2.421065369e0,3.680845642e0,9.388476563e0,1.037080876e1
9.888295834e-2,2.611619110e0,3.766467590e0,9.239087219e0,1.031346523e1
1.088819583e-1,2.674338684e0,3.785178680e0,9.128317566e0,1.023747267e1
1.188809583e-1,2.589465179e0,3.760629730e0,9.061406708e0,1.014676093e1
1.288799583e-1,2.424208832e0,3.742966461e0,8.921747131e0,9.974174566e0
1.388789583e-1,2.304308167e0,3.729793854e0,8.759783936e0,9.795662965e0
1.488779583e-1,2.298619995e0,3.666625214e0,8.715625763e0,9.730874924e0
1.588769583e-1,2.311343536e0,3.584296417e0,8.759334869e0,9.742455394e0
1.688759583e-1,2.348316650e0,3.463647308e0,8.887917480e0,9.823773252e0
1.788749583e-1,2.402653656e0,3.406915283e0,8.992699585e0,9.912036227e0
1.888739583e-1,2.527943115e0,3.424279175e0,9.053922272e0,1.000448363e1
1.988729583e-1,2.640509033e0,3.444337463e0,9.129066010e0,1.010819443e1
2.088719583e-1,2.755320282e0,3.494632874e0,9.129664764e0,1.015652635e1
2.188709583e-1,2.878963165e0,3.622766418e0,9.165290680e0,1.026720111e1
2.288699583e-1,3.140020294e0,3.703598328e0,9.219777374e0,1.042020455e1
2.388689583e-1,3.454366608e0,3.769012299e0,9.223669281e0,1.054581326e1
2.488679583e-1,3.725752258e0,3.782633972e0,9.149573364e0,1.057848016e1
2.588669583e-1,4.126019897e0,3.857628021e0,8.943601685e0,1.057796508e1
2.688659583e-1,4.551135864e0,3.916455688e0,8.667276306e0,1.054386748e1
2.788649583e-1,4.776866455e0,3.832630005e0,8.420289917e0,1.041195410e1
2.888639583e-1,5.024002533e0,3.703448639e0,8.191116486e0,1.029808344e1
2.988629583e-1,5.347180481e0,3.541485443e0,8.032596130e0,1.027896195e1
3.088620833e-1,5.568420410e0,3.383114777e0,7.967780914e0,1.029263349e1
3.188610833e-1,5.622907104e0,3.173101501e0,7.993078308e0,1.027496756e1
3.288600833e-1,5.642516327e0,2.934497681e0,8.029153290e0,1.024287897e1
3.388590833e-1,5.704038391e0,2.814896393e0,8.106093292e0,1.030380726e1
3.488580833e-1,5.733676758e0,2.664908295e0,8.165819092e0,1.032750632e1
3.588570833e-1,5.637875977e0,2.458936615e0,8.218808899e0,1.026551677e1
3.688560833e-1,5.528154144e0,2.278561707e0,8.218659210e0,1.016359636e1
3.788550833e-1,5.496719513e0,2.206711121e0,8.264613647e0,1.016795644e1
3.888540833e-1,5.501060486e0,2.111958160e0,8.254434814e0,1.014187990e1
3.988530833e-1,5.424419861e0,1.955982513e0,8.206684113e0,1.002994828e1
4.088530833e-1,5.332960052e0,1.833237762e0,8.123307495e0,9.888849694e0
4.188520833e-1,5.324128418e0,1.775158539e0,7.948321381e0,9.730022817e0
4.288510833e-1,5.289250946e0,1.700314178e0,7.739505615e0,9.527181695e0
4.388500833e-1,5.197641449e0,1.501976624e0,7.640711060e0,9.362258056e0
4.488490833e-1,5.163213043e0,1.201701050e0,7.551346893e0,9.226358667e0
4.588480833e-1,5.227429504e0,8.238867188e-1,7.433242493e0,9.124576840e0
4.688470833e-1,5.344486084e0,4.936734009e-1,7.451504517e0,9.183254570e0
4.788460833e-1,5.497467957e0,1.785786438e-1,7.429799652e0,9.244239673e0
4.888450833e-1,5.806724854e0,-1.511856079e-2,7.321425018e0,9.344599852e0
4.988440833e-1,6.078858948e0,-6.661148071e-2,7.406897278e0,9.582227845e0
5.088430833e-1,6.139033813e0,-2.116598511e-1,7.625742188e0,9.792062090e0
5.188420833e-1,6.295159149e0,-3.893403625e-1,7.704179077e0,9.956655557e0
5.288410833e-1,6.659800873e0,-5.174739075e-1,7.781418457e0,1.025530107e1
5.388400833e-1,6.976841583e0,-6.453080750e-1,7.900121613e0,1.055957681e1
5.488390833e-1,7.116800537e0,-7.340734863e-1,7.944878540e0,1.069152977e1
5.588380833e-1,7.203619995e0,-7.819738770e-1,7.979756012e0,1.077868870e1
5.688370833e-1,7.264393616e0,-8.845106506e-1,7.910899200e0,1.077664604e1
5.788360833e-1,7.244634705e0,-1.154549103e0,7.860005035e0,1.075162289e1
5.888350833e-1,7.077731781e0,-1.413360901e0,7.752528534e0,1.059214685e1
5.988340833e-1,6.639293518e0,-1.489851837e0,7.405999146e0,1.005727101e1
6.088330833e-1,6.033802643e0,-1.250050507e0,6.858587494e0,9.220066324e0
6.188320833e-1,5.136269073e0,-9.527687073e-1,6.627318420e0,8.438624156e0
6.288310833e-1,4.482428741e0,-8.497828674e-1,6.689888306e0,8.097462805e0
6.388300833e-1,4.075724487e0,-8.370593262e-1,6.585405579e0,7.789721757e0
6.488290833e-1,3.735182648e0,-1.092278595e0,6.899452515e0,7.921307149e0
6.588280833e-1,4.063599701e0,-1.566342773e0,7.535779266e0,8.703691249e0
6.688270833e-1,4.742587738e0,-2.068698120e0,8.072113953e0,9.588048500e0
6.788260833e-1,5.249583435e0,-2.387385406e0,8.637338562e0,1.038563203e1
6.888250833e-1,5.548661499e0,-2.407892761e0,8.879534912e0,1.074391606e1
6.988240833e-1,5.515879669e0,-2.370320892e0,8.931327209e0,1.076159632e1
7.088230833e-1,5.455405426e0,-2.305206299e0,8.909322968e0,1.069819892e1
7.188220833e-1,5.855673065e0,-2.216590576e0,9.042096863e0,1.099825879e1
7.288210833e-1,6.347550201e0,-2.621199188e0,9.138496399e0,1.143128143e1
7.388200833e-1,6.811136169e0,-3.057990875e0,9.292675781e0,1.192043234e1
7.488190833e-1,7.161707153e0,-3.089874573e0,9.397757263e0,1.221291185e1
7.588180833e-1,7.173382874e0,-2.844534760e0,9.524094543e0,1.225794341e1
7.688170833e-1,7.022945709e0,-2.481988678e0,9.504784698e0,1.207571805e1
7.788160833e-1,6.852450256e0,-2.029629364e0,9.299561462e0,1.172848299e1
7.888150833e-1,6.872059479e0,-1.528471527e0,9.013805695e0,1.143722518e1
7.988140833e-1,6.940766602e0,-1.215023346e0,8.899593201e0,1.135135595e1
8.088140833e-1,6.972500610e0,-1.267414398e0,8.924291840e0,1.139583647e1
8.188130833e-1,7.207511902e0,-1.351240082e0,8.914113007e0,1.154276779e1
8.288120833e-1,7.393125916e0,-1.274749146e0,8.825347595e0,1.158317989e1
8.388110833e-1,7.216942291e0,-9.725276184e-1,8.685238953e0,1.133417142e1
8.488100833e-1,6.963968353e0,-5.593867493e-1,8.572673035e0,1.105895527e1
8.588090833e-1,6.777755585e0,-1.154100037e-1,8.382418671e0,1.078036331e1
8.688080833e-1,6.993307343e0,3.128494263e-1,8.084687805e0,1.069422270e1
8.788070833e-1,7.354955292e0,6.101312256e-1,8.120164032e0,1.097290715e1
8.888060833e-1,7.382498016e0,2.770738220e-1,8.818461914e0,1.150405656e1
8.988050833e-1,7.378755798e0,-6.402186584e-1,9.740694122e0,1.223670867e1
9.088040833e-1,7.517966309e0,-1.488205261e0,1.036953644e1,1.289425679e1
9.188030833e-1,7.635022888e0,-1.994003448e0,1.043719574e1,1.308452059e1
9.288020833e-1,7.743247833e0,-1.975741425e0,1.037238052e1,1.309380460e1
9.388010833e-1,7.467820587e0,-1.480122070e0,1.059302170e1,1.304496893e1
9.488000833e-1,6.879394226e0,-7.220983887e-1,1.084255280e1,1.286112134e1
9.587990833e-1,6.624923401e0,-1.694476318e-1,1.078866486e1,1.266150117e1
9.687980833e-1,6.671775970e0,3.577560425e-2,1.060858932e1,1.253220020e1
9.787970833e-1,6.781497803e0,7.289840698e-2,1.052895493e1,1.252409352e1
9.887960833e-1,6.941365356e0,-1.137634277e-2,1.032852173e1,1.244431772e1
9.987950833e-1,7.128476257e0,1.796264648e-3,1.010877869e1,1.236942131e1
1.008794083e0,7.308252411e0,1.847158813e-1,9.982591095e0,1.237322909e1
1.018793083e0,7.281458130e0,4.505630493e-1,9.913883972e0,1.230884783e1
1.028792083e0,7.022796021e0,6.192622375e-1,9.675429840e0,1.197151169e1
1.038791083e0,6.828200684e0,8.743318176e-1,9.347162476e0,1.160854112e1
1.048790083e0,6.759493561e0,1.335822144e0,9.034762115e0,1.136231053e1
1.058789083e0,6.585405579e0,1.858535156e0,8.910520477e0,1.123472718e1
1.068788083e0,6.386618958e0,2.332449646e0,8.742719421e0,1.107539462e1
1.078787083e0,6.265071716e0,2.714455261e0,8.596623230e0,1.097822034e1
1.088786083e0,6.253695374e0,2.972668304e0,8.452922058e0,1.092690963e1
1.098785083e0,6.274951172e0,3.098107452e0,8.298443298e0,1.085529563e1
1.108784083e0,6.168223114e0,3.111729126e0,8.101303253e0,1.064710989e1
1.118783083e0,5.954317932e0,2.977757721e0,7.922425232e0,1.034822519e1
1.128782083e0,5.939498749e0,2.809956665e0,7.831713867e0,1.022297628e1
1.138781083e0,6.014193420e0,2.608924713e0,7.763755188e0,1.016134367e1
1.148780083e0,6.094576263e0,2.426454163e0,7.661667480e0,1.008626235e1
1.158779083e0,6.064339142e0,2.330503693e0,7.568860474e0,9.974723332e0
1.168778083e0,6.038592682e0,2.293680267e0,7.408693542e0,9.829257894e0
1.178778083e0,6.090983734e0,2.292782135e0,7.327562256e0,9.800515363e0
1.188777083e0,6.299799500e0,2.305655365e0,7.472011871e0,1.004163741e1
1.198776083e0,6.575825500e0,2.309247894e0,7.746840363e0,1.042053945e1
1.208775083e0,6.805897064e0,2.313588867e0,8.025411072e0,1.077404990e1
1.218774083e0,6.989864502e0,2.172133026e0,8.286019135e0,1.105597037e1
1.228773083e0,7.137756958e0,1.956880646e0,8.543334045e0,1.130334078e1
1.238772083e0,7.387138367e0,1.798959045e0,8.743617554e0,1.158692862e1
1.248771083e0,7.788603516e0,1.691781921e0,8.849597168e0,1.190965326e1
1.258770083e0,8.216114502e0,1.575922852e0,8.863817596e0,1.218832772e1
1.268769083e0,8.408614197e0,1.415606232e0,8.795709229e0,1.225043814e1
1.278768083e0,8.437055054e0,1.263522491e0,8.702303467e0,1.218648730e1
1.288767083e0,8.366401978e0,1.176703033e0,8.494984589e0,1.198107154e1
1.298766083e0,8.163723450e0,1.141226807e0,8.207731934e0,1.163252521e1
1.308764833e0,8.077053680e0,1.151106262e0,7.994724884e0,1.142276095e1
1.318763833e0,8.073461151e0,1.160237274e0,7.897876282e0,1.135356223e1
1.328762833e0,8.149652710e0,1.082099762e0,7.852370911e0,1.136870741e1
1.338761833e0,8.447084198e0,9.554631042e-1,7.782316589e0,1.152521552e1
1.348760833e0,8.791368256e0,7.084767151e-1,7.742349701e0,1.173601610e1
1.358759833e0,9.149573364e0,3.833528137e-1,7.645950165e0,1.192988709e1
1.368758833e0,9.382638702e0,1.070274353e-1,7.426356812e0,1.196645893e1
1.378757833e0,9.424252167e0,-2.469863892e-2,7.121440887e0,1.181236891e1
1.388756833e0,9.388177185e0,-1.011895752e-1,6.868766327e0,1.163305897e1
1.398755833e0,9.341623993e0,-2.481838989e-1,6.660549316e0,1.147564601e1
1.408754833e0,9.279802551e0,-4.176315308e-1,6.381679230e0,1.127009234e1
1.418753833e0,9.202862549e0,-5.508544922e-1,6.049669647e0,1.102699518e1
1.428752833e0,9.158404999e0,-6.626719666e-1,5.713019714e0,1.081453238e1
1.438751833e0,9.087003479e0,-7.942483521e-1,5.425467682e0,1.061320697e1
1.448750833e0,8.976084137e0,-8.800199890e-1,5.186265106e0,1.040393519e1
1.458749833e0,8.724457397e0,-9.526190186e-1,4.886438599e0,1.004494510e1
1.468748833e0,8.297694855e0,-1.029708710e0,4.559518433e0,9.523720295e0
1.478747833e0,7.924670563e0,-1.142124939e0,4.270469513e0,9.074236208e0
1.488746833e0,7.640860748e0,-1.256786499e0,3.998634796e0,8.715006914e0
1.498745833e0,7.552095337e0,-1.288370819e0,3.785478058e0,8.545401540e0
1.508744833e0,7.394772491e0,-1.334175568e0,3.571572876e0,8.319784700e0
1.518744833e0,7.267537079e0,-1.473086700e0,3.372636566e0,8.146272585e0
1.528742833e0,7.223528595e0,-1.624421997e0,3.223247223e0,8.075112064e0
1.538742833e0,7.167545013e0,-1.826202393e0,3.109034729e0,8.023391655e0
1.548741833e0,7.181765442e0,-2.112556915e0,3.061733093e0,8.087945420e0
1.558740833e0,7.277865601e0,-2.403851166e0,3.061433716e0,8.253375341e0
1.568739833e0,7.366780701e0,-2.562820587e0,3.123105469e0,8.401862592e0
1.578738833e0,7.486681366e0,-2.554138641e0,3.234773254e0,8.546214371e0
1.588737833e0,7.538024597e0,-2.411934357e0,3.282074890e0,8.568036984e0
1.598736833e0,7.540120239e0,-2.186203766e0,3.338208160e0,8.530916355e0
1.608735833e0,7.505841522e0,-1.971550140e0,3.332969055e0,8.445907271e0
1.618734833e0,7.494914246e0,-1.891167297e0,3.324436798e0,8.414400354e0
1.628733833e0,7.499554596e0,-1.892514496e0,3.296445007e0,8.407822545e0
1.638732833e0,7.516319733e0,-1.893712006e0,3.252286835e0,8.405865639e0
1.648731833e0,7.562872925e0,-1.912572784e0,3.243904266e0,8.448544042e0
1.658730833e0,7.585176544e0,-1.913021851e0,3.307222595e0,8.493072301e0
1.668729833e0,7.590116272e0,-1.846410370e0,3.426823883e0,8.530077268e0
1.678728833e0,7.575446777e0,-1.751208344e0,3.535797272e0,8.541427684e0
1.688727833e0,7.536378021e0,-1.666035461e0,3.616629181e0,8.523653822e0
1.698726833e0,7.559280396e0,-1.572330322e0,3.705095215e0,8.564033704e0
1.708725833e0,7.557633820e0,-1.467248840e0,3.716770935e0,8.548978553e0
1.718724833e0,7.493567047e0,-1.397194519e0,3.670517120e0,8.460401618e0
1.728723833e0,7.457941132e0,-1.431173859e0,3.679199066e0,8.438344050e0
1.738722833e0,7.513475647e0,-1.434317322e0,3.725602570e0,8.508213501e0
1.748721833e0,7.504644012e0,-1.388362885e0,3.783681793e0,8.518420110e0
1.758720833e0,7.436086578e0,-1.387315063e0,3.863615570e0,8.493971507e0
1.768719833e0,7.459887085e0,-1.288670197e0,3.911066895e0,8.520975909e0
1.778718833e0,7.524851990e0,-1.294957123e0,4.090393982e0,8.662080255e0
1.788717833e0,7.889194336e0,-1.310824127e0,4.515210571e0,9.183941075e0
1.798716833e0,8.458759918e0,-1.157692566e0,4.738246765e0,9.764315329e0
1.808715833e0,8.651558990e0,-1.055754547e0,4.888234863e0,9.992944046e0
1.818714833e0,8.443641357e0,-1.120569763e0,5.054389343e0,9.904423638e0
1.828713833e0,8.202941895e0,-1.199455719e0,5.066514130e0,9.715786904e0
1.838712833e0,8.034093018e0,-1.108744354e0,5.057383118e0,9.557880971e0
1.848711833e0,7.950566711e0,-8.753796387e-1,5.182073822e0,9.530566071e0
1.858710833e0,8.065677338e0,-2.995271301e-1,5.638175354e0,9.845500939e0
1.868709833e0,8.423134003e0,3.062631226e-1,6.372997284e0,1.056683860e1
1.878709833e0,9.130263519e0,2.945874023e-1,6.865323486e0,1.142721139e1
